code,name,changepercent,trade,open,high,low,settlement,volume,turnoverratio,amount,per,pb,mktcap,nmc,date
002239,奥特佳,1.857,3.84,3.91,3.95,3.77,3.77,58956338,1.88279,225777360,117.791,2.311,1245411.127296,1202427.529728,2021-03-10
002238,天威视讯,10.083,6.66,6.65,6.66,6.5,6.05,11652576,1.45193,77553114,21.484,2.474,534504.40056,534504.40056,2021-03-10
002237,恒邦股份,-0.336,11.85,12.1,12.11,11.81,11.89,6163642,0.67703,73449218,34.853,1.854,1360397.064,1078818.84525,2021-03-10
002236,大华股份,-0.27,22.19,22.7,22.85,22.11,22.25,31543353,1.69745,706212973,20.173,3.589,6647191.11021,4123527.478406,2021-03-10
002235,安妮股份,-6.51,3.59,3.88,3.9,3.59,3.84,20583490,3.7836,76251358,92.526,1.176,208066.449956,195302.884184,2021-03-10
002234,民和股份,-2.458,14.68,15.16,15.24,14.58,15.05,4809649,2.33304,71250266,2.754,1.683,443404.455776,302634.121912,2021-03-10
002233,塔牌集团,-0.672,11.82,11.98,12.02,11.8,11.9,8529120,0.7156100000000001,101234254,8.11,1.387,1409269.068912,1408778.94552,2021-03-10
002232,启明信息,-0.713,11.14,11.32,11.36,11.14,11.22,3636600,0.8901300000000001,40876925,50.112,3.529,455122.97887,455122.97887,2021-03-10
002231,奥维通信,-3.378,4.29,4.45,4.47,4.27,4.44,2546700,0.7137600000000001,11048994,31.943,2.609,153067.2,153067.2,2021-03-10
002230,科大讯飞,-0.322,46.47,47.8,48.16,46.03,46.62,34334857,1.6943100000000002,1610881214,116.175,8.492,10338356.170899,9417033.795414,2021-03-10
002229,鸿博股份,-1.049,5.66,5.77,5.8,5.63,5.72,2188650,0.43926000000000004,12460207,80.057,1.674,282062.852858,282012.108128,2021-03-10
002228,合兴包装,0.0,3.86,3.9,3.91,3.82,3.86,9127360,0.73933,35290034,16.783,1.431,478105.921522,476537.248402,2021-03-10
002227,奥 特 迅,-0.216,13.88,14.11,14.45,13.83,13.91,2123501,0.9638200000000001,29779098,271.094,3.854,306189.1912,305806.364144,2021-03-10
002226,江南化工,-0.304,6.55,6.6,6.66,6.48,6.57,9293374,0.9698100000000001,60811334,20.216,1.301,818083.00695,627664.93085,2021-03-10
002225,濮耐股份,-1.361,4.35,4.43,4.43,4.31,4.41,4352989,0.53612,18947761,16.111,1.5430000000000001,439489.60716,353194.3698,2021-03-10
002224,三 力 士,-2.7119999999999997,5.38,5.53,5.57,5.35,5.53,5386608,0.9926100000000001,29282080,29.889,1.678,392508.690128,291956.514338,2021-03-10
002223,鱼跃医疗,-3.915,27.0,28.16,28.3,26.98,28.1,14355604,1.65605,392773890,36.0,3.768,2706687.7083,2340510.2442,2021-03-10
002222,福晶科技,3.043,14.22,13.72,14.44,13.58,13.8,25347902,5.99347,356087967,45.186,5.797,607905.0,601399.348578,2021-03-10
002221,东华能源,0.615,11.45,11.5,11.63,11.28,11.38,17278770,1.1280700000000001,197866624,16.395,1.892,1888131.13348,1753808.85913,2021-03-10
002219,*ST恒康,4.865,1.94,1.85,1.94,1.85,1.85,24735011,1.34132,47489158,-1.462,24.808,361855.86742,357752.35129,2021-03-10
002218,拓日新能,-2.637,4.8,5.17,5.27,4.73,4.93,119798325,9.85411,604730434,76.19,1.931,593444.20992,583545.50592,2021-03-10
002217,合力泰,-3.324,3.49,3.64,3.65,3.48,3.61,30833844,1.15059,108588047,9.971,0.888,1087629.26078,935262.916513,2021-03-10
002216,三全食品,-3.314,22.17,23.1,23.35,22.09,22.93,10485408,1.85471,236436666,82.111,6.44,1771955.487042,1253358.921888,2021-03-10
002215,诺 普 信,-1.111,5.34,5.44,5.45,5.29,5.4,4903009,0.6843100000000001,26235081,20.46,1.9420000000000002,487945.909056,382606.285848,2021-03-10
002214,大立科技,-0.732,23.05,23.46,23.64,23.0,23.22,2777121,0.77678,64506119,76.833,7.649,1152328.74772,824082.04643,2021-03-10
002213,大为股份,-0.852,11.64,11.74,12.04,11.57,11.74,1007700,0.4892,11754434,1455.0,6.475,239784.0,239773.0002,2021-03-10
002212,天融信,-3.65,21.38,22.61,22.61,21.02,22.19,16663084,1.4868700000000001,360055050,60.191,2.821,2516281.569548,2396010.848938,2021-03-10
002211,宏达新材,0.362,5.54,5.51,5.7,5.46,5.52,4975800,1.60412,27492947,-27.224,3.235,239591.581566,171844.306566,2021-03-10
002210,*ST飞马,5.118,2.67,2.6,2.67,2.56,2.54,11471822,0.43136,30243154,-2.618,-0.395,710549.150658,710078.404293,2021-03-10
002209,达 意 隆,-0.163,6.14,6.22,6.22,5.91,6.15,2986398,1.9326400000000001,17982885,-33.261,1.908,119879.8467,94878.093348,2021-03-10
002208,合肥城建,-3.742,7.46,7.8,7.81,7.42,7.75,14344483,2.30523,108830097,11.808,1.207,599255.752924,464203.85628,2021-03-10
002207,准油股份,-9.235,7.47,8.23,8.5,7.41,8.23,44017727,18.5315,342232768,33.955,13.156,195755.367366,177434.293725,2021-03-10
002206,海 利 得,3.604,5.75,5.48,5.8,5.37,5.55,42715456,4.43399,241324054,20.536,2.497,703241.470875,553934.49435,2021-03-10
002205,国统股份,-0.28300000000000003,7.04,7.07,7.33,7.01,7.06,5944882,3.19887,42509310,194.475,1.599,130833.632512,130833.632512,2021-03-10
002204,大连重工,-1.389,3.55,3.6,3.65,3.55,3.6,10012044,0.51839,35858110,118.333,1.031,685636.36136,685636.36136,2021-03-10
002203,海亮股份,-0.332,9.0,9.06,9.2,8.85,9.03,13312990,0.7206600000000001,120237252,16.167,1.949,1756901.2383,1662603.1407,2021-03-10
002202,金风科技,-1.738,13.0,13.45,13.5,12.97,13.23,52661747,1.55185,693482089,25.391,1.819,5492587.9411,4411528.5565,2021-03-10
002201,九鼎新材,-3.509,11.55,12.0,12.11,11.51,11.97,3201490,0.9653600000000001,37500240,144.375,4.033,383999.92785,383038.79922,2021-03-10
002200,ST云投,-2.232,4.38,4.48,4.5,4.35,4.48,958800,0.54827,4237055,22.473,9.157,80650.20582,76595.726982,2021-03-10
002199,东晶电子,-3.041,5.74,5.99,6.02,5.73,5.92,1798210,0.7386600000000001,10469130,95.667,3.483,139735.916362,139735.916362,2021-03-10
